===============================================================================================
                                CONSOLIDATED EVALUATION RESULTS                                
===============================================================================================
Mode       | Algo  | Train Seed | Success Rate | Avg Return | Avg Steps  | Avg Area | Unique Solns
-----------------------------------------------------------------------------------------------
diverse    | DQN   | 0          | 100.00%      | 2.159      | 10.00      | 40.00    | 46
diverse    | PPO   | 0          | 99.60%       | 1.997      | 9.99       | 39.96    | 1
diverse    | DQN   | 1          | 100.00%      | 2.020      | 10.00      | 40.00    | 5
diverse    | PPO   | 1          | 99.30%       | 1.992      | 9.99       | 39.95    | 1
diverse    | DQN   | 2          | 100.00%      | 2.083      | 10.00      | 40.00    | 22
diverse    | PPO   | 2          | 99.60%       | 1.997      | 9.99       | 39.98    | 1
diverse    | DQN   | 3          | 93.10%       | 1.982      | 9.87       | 39.48    | 26
diverse    | PPO   | 3          | 96.30%       | 1.945      | 9.92       | 39.69    | 2
diverse    | DQN   | 4          | 99.80%       | 2.019      | 10.00      | 39.99    | 6
diverse    | PPO   | 4          | 99.80%       | 2.005      | 10.00      | 39.99    | 2
diverse    | DQN   | 42         | 100.00%      | 2.071      | 10.00      | 40.00    | 19
diverse    | PPO   | 42         | 98.80%       | 1.992      | 9.98       | 39.91    | 3
diverse    | DQN   | 5          | 0.00%        | 0.296      | 7.96       | 31.83    | 0
diverse    | PPO   | 5          | 99.90%       | 2.002      | 10.00      | 40.00    | 1
standard   | DQN   | 0          | 100.00%      | 6.000      | 10.00      | 40.00    | 25
standard   | PPO   | 0          | 100.00%      | 6.000      | 10.00      | 40.00    | 1
standard   | DQN   | 1          | 100.00%      | 6.000      | 10.00      | 40.00    | 6
standard   | PPO   | 1          | 99.40%       | 5.966      | 9.99       | 39.95    | 2
standard   | DQN   | 2          | 100.00%      | 6.000      | 10.00      | 40.00    | 2
standard   | PPO   | 2          | 99.90%       | 5.994      | 10.00      | 39.99    | 2
standard   | DQN   | 3          | 100.00%      | 6.000      | 10.00      | 40.00    | 6
standard   | PPO   | 3          | 99.80%       | 5.989      | 10.00      | 39.98    | 1
standard   | DQN   | 4          | 100.00%      | 6.000      | 10.00      | 40.00    | 6
standard   | PPO   | 4          | 0.00%        | 0.396      | 8.96       | 35.86    | 0
standard   | DQN   | 42         | 100.00%      | 6.000      | 10.00      | 40.00    | 3
standard   | PPO   | 42         | 99.70%       | 5.983      | 9.99       | 39.98    | 2
standard   | DQN   | 5          | 100.00%      | 6.000      | 10.00      | 40.00    | 2
standard   | PPO   | 5          | 99.70%       | 5.983      | 10.00      | 39.99    | 1
===============================================================================================
